Seccion,Categoría,Subcategoría,Concepto,Descripción,Url,Complejidad tecnica,Complejidad tactica,Enfoque Tecnico/Tactico,Nivel
Ataque,Técnica Individual,Cambios Dirección,Cambios de dirección,(Sin descripción específica),https://youtu.be/,1,0,Concepto base: alterar la trayectoria de desplazamiento.,1
Ataque,Técnica Individual,Finalizaciones,Finalizaciones,(Sin descripción específica),https://youtu.be/,1,0,Concepto base de culminar al aro.,1
Ataque,Técnica Individual,Manejo de balón,Manejo de balón,(Sin descripción específica),https://youtu.be/,1,0,Concepto general de ball handling.,1
Ataque,Técnica Individual,Paradas,Paradas,(Sin descripción específica),https://youtu.be/,1,0,Control del cuerpo para detener la inercia.,1
Ataque,Técnica Individual,Pase,Pase,(Sin descripción específica),https://youtu.be/,1,0,Mecánica básica de transmisión del balón.,1
Ataque,Técnica Individual,Salidas,Salidas,(Sin descripción específica),https://youtu.be/,1,0,Concepto de iniciar el movimiento desde parado.,1
Ataque,Técnica Individual,Tiro,Tiro,(Sin descripción específica),https://youtu.be/,2,0,Acción básica de lanzar a canasta.,1
Ataque,Técnica Individual,Cambios Dirección,Cambio por delante,(Sin descripción específica),https://youtu.be/,2,0,Crossover básico: cambio de mano frontal protegiendo el balón.,2
Ataque,Técnica Individual,Finalizaciones,Abrazar balón,Finalización sencilla de trabajar...,https://youtu.be/Yfa-_diETdc,2,0,Proteger balón pegándolo al pecho en el tráfico.,2
Ataque,Técnica Individual,Finalizaciones,Finalización tras pase,(Sin descripción específica),https://youtu.be/,3,0,Coordinación recepción-tiro sin pasos de más.,2
Ataque,Técnica Individual,Manejo de balón,Bote de velocidad,(Sin descripción específica),https://youtu.be/8PXFc9SbdLM,2,0,Empujar balón hacia delante para máxima carrera.,2
Ataque,Técnica Individual,Manejo de balón,Bote protección,Bote que se realiza para evitar...,https://youtu.be/Z94GPkvjb6U,3,0,Uso del cuerpo y brazo libre como escudo.,2
Ataque,Técnica Individual,Paradas,Dos tiempos exterior,(Sin descripción específica),https://youtu.be/iaIDwhAfKO0,3,0,Parada 1-2 apoyando primero el pie lejano al aro.,2
Ataque,Técnica Individual,Paradas,Dos tiempos interior,(Sin descripción específica),https://youtu.be/Yk8XWQqxRgo,3,0,Parada 1-2 apoyando primero el pie cercano al aro.,2
Ataque,Técnica Individual,Paradas,Parada Un tiempo,(Sin descripción específica),https://youtu.be/Dz4aBGw0UJY,4,0,Caer con ambos pies simultáneamente para elegir pivote.,2
Ataque,Técnica Individual,Pase,Mano a mano,(Sin descripción específica),https://youtu.be/,2,0,Entrega del balón a corta distancia (Handoff).,2
Ataque,Técnica Individual,Salidas,Salida abierta,(Sin descripción específica),https://youtu.be/,2,0,Salida con el pie del mismo lado del balón (rápida).,2
Ataque,Técnica Individual,Salidas,Salida cruzada,(Sin descripción específica),https://youtu.be/mHdMmlyK5CY,2,0,Cruzar pierna y balón para proteger la salida.,2
Ataque,Técnica Individual,Tiro,Mecanica tiro,(Sin descripción específica),https://youtu.be/,6,0,Ejecución técnica correcta del lanzamiento (Codo Muñeca).,2
Ataque,Técnica Individual,Tiro,Tiro libre,(Sin descripción específica),https://youtu.be/OPTmkIjH0OQ,3,0,Mecánica repetitiva y rutina mental sin oposición.,2
Ataque,Táctica Individual,Juego con balón,Si def esta cerca ataco,(Sin descripción específica),https://youtu.be/,4,6,Principio de lectura: castigar la presión.,2
Ataque,Táctica Individual,Juego con balón,Si def esta lejos tiro,(Sin descripción específica),https://youtu.be/,4,5,Principio de lectura: castigar el espacio (flotación).,2
Ataque,Táctica Individual,Juego sin balon,Cambio chip defensa/ataque,(Sin descripción específica),https://youtu.be/,0,8,Velocidad de reacción mental en transiciones.,2
Ataque,Táctica Individual,Juego sin balon,Corte a canasta,(Sin descripción específica),https://youtu.be/xjcFgK4ch84,3,7,Timing para ocupar el espacio vacío en el momento justo.,2
Ataque,Táctica Individual,Juego sin balon,Juego sin balón,(Sin descripción específica),https://youtu.be/,0,5,Concepto general de actividad ofensiva sin posesión.,2
Ataque,Táctica Individual,Juego sin balon,Pasar y moverse,(Sin descripción específica),https://youtu.be/,2,6,Hábito táctico básico (Give & Go).,2
Ataque,Táctica Colectiva,Contrataque,Contrataque,(Sin descripción específica),https://youtu.be/_lpdZPl5B_8,0,5,Concepto de transición rápida defensa-ataque.,2
Ataque,Táctica Colectiva,Juego colectivo,Pasar y cortar,(Sin descripción específica),https://youtu.be/eFjAAlEegIU,2,5,Principio básico de movimiento tras soltar balón.,2
Ataque,Técnica Individual,Cambios Dirección,Bote escapatoria,"Gesto técnico importante. Desbloquear la muñeca, botar hacia atrás...",https://youtu.be/dZRyT-oHN_g,3,0,Desbloquear muñeca y botar hacia atrás con pasos cortos.,3
Ataque,Técnica Individual,Cambios Dirección,Bote lateral,Para ser capaz de hacer bien el bote lateral...,https://youtu.be/oPVTlJwTBUU,3,0,Disociar bote y pies para cubrir espacio lateralmente.,3
Ataque,Técnica Individual,Cambios Dirección,Cambio debajo de piernas,(Sin descripción específica),https://youtu.be/dAyxIYeP_PA,5,0,Coordinación espacial para pasar el balón sin golpear la pierna.,3
Ataque,Técnica Individual,Cambios Dirección,Finta de penetración,(Sin descripción específica),https://youtu.be/NFdUx6ivCOg,4,0,Coordinación de ojos hombros y pies para vender la acción.,3
Ataque,Técnica Individual,Cambios Dirección,In & out,(Sin descripción específica),https://youtu.be/v-g2KdSR3_o,4,0,Muñeca activa (adentro-afuera) simulando cambio de dirección.,3
Ataque,Técnica Individual,Cambios Dirección,Stop & go,Acción técnica simple...,https://youtu.be/xEB6XKuM3FI,4,0,Cambio drástico de ritmo (frenar en seco y arrancar).,3
Ataque,Técnica Individual,Finalizaciones,Doble paso rapido,(Sin descripción específica),https://youtu.be/4DyVSW3hnWY,3,0,Aceleración de los dos últimos apoyos para sorprender.,3
Ataque,Técnica Individual,Finalizaciones,Paradas un tiempo + pivote,(Sin descripción específica),https://youtu.be/3M51RdkCjHI,5,0,Fuerza de piernas para frenar y girar controlando.,3
Ataque,Técnica Individual,Manejo de balón,Bote mano no dominante,(Sin descripción específica),https://youtu.be/,4,0,"Igualar destreza con la mano ""mala"".",3
Ataque,Técnica Individual,Manejo de balón,Disociar bote y visión,(Sin descripción específica),https://youtu.be/,5,0,Botar sin mirar el balón (cabeza levantada).,3
Ataque,Técnica Individual,Manejo de balón,Ritmos de bote,(Sin descripción específica),https://youtu.be/,5,0,Alternar botes fuertes/suaves/rápidos/lentos.,3
Ataque,Técnica Individual,Manejo de balón,Tension bote,(Sin descripción específica),https://youtu.be/,4,0,Botar con fuerza para reducir tiempo balón-suelo.,3
Ataque,Técnica Individual,Pase,Finta de pase,(Sin descripción específica),https://youtu.be/,4,0,Engaño con mirada y extensión de brazos sin soltar balón.,3
Ataque,Técnica Individual,Poste bajo,Duck in,Acción de ganar espacio cerca del aro...,https://youtu.be/q2rj_Fy91w0,4,0,Sellar al defensor agresivamente bajo el aro.,3
Ataque,Técnica Individual,Poste bajo,Paradas + pivotes,(Sin descripción específica),https://youtu.be/,4,0,Fundamento de pies para jugar de espaldas.,3
Ataque,Técnica Individual,Poste bajo,Pivote exterior,Consiste en pivotar para encarar...,https://youtu.be/ojsgOPPRIOQ,4,0,Abrirse para jugar de cara tras recibir de espaldas.,3
Ataque,Técnica Individual,Poste bajo,Poste bajo,(Sin descripción específica),https://youtu.be/,1,0,Concepto general de juego interior.,3
Ataque,Técnica Individual,Salidas,Finta de salida,Finta de salida o jab step...,https://youtu.be/Cl3DnfdbE90,3,0,Jab step: finta agresiva con el pie libre.,3
Ataque,Técnica Individual,Tiro,Finta de tiro,(Sin descripción específica),https://youtu.be/x9w5uQ_H3zM,3,0,Engaño visual y corporal para levantar al defensa.,3
Ataque,Técnica Individual,Tiro,Selección de tiro,(Sin descripción específica),https://youtu.be/,4,0,Capacidad cognitiva (IQ) de elegir el buen tiro.,3
Ataque,Táctica Individual,Juego con balón,1x1,(Sin descripción específica),https://youtu.be/,5,7,Leer al defensor + habilidades de desborde.,3
Ataque,Táctica Individual,Juego con balón,1x1 en carrera,(Sin descripción específica),https://youtu.be/,6,6,Manejo a velocidad + toma de decisiones rápida.,3
Ataque,Táctica Individual,Juego sin balon,JSB ante 1x1. Exterior,(Sin descripción específica),https://youtu.be/jSXi23WvkBQ,2,7,Espaciado (Spacing) y líneas de pase de seguridad.,3
Ataque,Táctica Individual,Juego sin balon,JSB para recibir,(Sin descripción específica),https://youtu.be/Qro2_nQWk-w,4,6,Trabajo de pies en V-cuts o L-cuts para desmarcarse.,3
Ataque,Táctica Individual,Juego sin balon,Ocupación espacios,(Sin descripción específica),https://youtu.be/,0,9,Comprensión del Spacing y geometría de cancha.,3
Ataque,Táctica Individual,Juego sin balon,Puerta atrás,Jugada ofensiva en la que un jugador...,https://youtu.be/QklsVZIBu6k,4,8,Castigar la sobre-presión defensiva (Backdoor).,3
Ataque,Táctica Individual,Juego sin balon,Rebote ofensivo,(Sin descripción específica),https://youtu.be/,4,7,Intuición de rechace + técnica de bloqueo/salto.,3
Ataque,Táctica Individual,Juego sin balon,Respeto espacios,(Sin descripción específica),https://youtu.be/,0,8,Disciplina táctica para no colapsar el ataque.,3
Ataque,Táctica Colectiva,Contrataque,Atacar por centro,(Sin descripción específica),https://youtu.be/,5,6,Ocupación del carril central (Rim run / Base).,3
Ataque,Táctica Colectiva,Contrataque,Calles contrataque,(Sin descripción específica),https://youtu.be/,2,5,Estructura espacial: quién corre por dónde.,3
Ataque,Táctica Colectiva,Contrataque,CTQ. Atacar por banda,(Sin descripción específica),https://youtu.be/,4,5,Correr abierto para ensanchar el campo (Wide).,3
Ataque,Táctica Colectiva,Juego colectivo,Inversión de balón,(Sin descripción específica),https://youtu.be/,2,7,Cambiar el balón de lado para mover la defensa.,3
Ataque,Táctica Colectiva,Juego colectivo,Ocupacion esquina,(Sin descripción específica),https://youtu.be/,0,6,Corner fill: Estirar la defensa al máximo.,3
Ataque,Táctica Colectiva,Juego colectivo,Remplazar posiciones,(Sin descripción específica),https://youtu.be/,0,6,Fill: Ocupar el espacio dejado por el compañero.,3
Ataque,Técnica Individual,Cambios Dirección,Cambio por detrás,(Sin descripción específica),https://youtu.be/VVIsHHELmsc,7,0,Wrap: pasar el balón tras la espalda ocultándolo del defensor.,4
Ataque,Técnica Individual,Cambios Dirección,Jab cross,Cambio de dirección de dificultad media...,https://youtu.be/1_9nqqanix8,4,0,Disociación fuerte: balón a un lado y finta corporal al opuesto.,4
Ataque,Técnica Individual,Cambios Dirección,Latigo,(Sin descripción específica),https://youtu.be/in8XqNvTbzE,4,0,Bote rápido y seco para manipular el timing del defensor.,4
Ataque,Técnica Individual,Cambios Dirección,Reverso,(Sin descripción específica),https://youtu.be/M0t_7FnnEtE,7,0,Giro completo sobre eje corporal protegiendo balón.,4
Ataque,Técnica Individual,Cambios Dirección,Shot fake hesitation,Vídeo: Xuancar Navarro,https://youtu.be/sgV4rjRJpOM,4,0,Levantar centro de gravedad y mirada simulando tiro.,4
Ataque,Técnica Individual,Cambios Dirección,Shoulder hesitation,Acción similar al stop and go...,https://youtu.be/qKm9FZNuMsQ,4,0,Girar hombros simulando pausa antes de explotar velocidad.,4
Ataque,Técnica Individual,Cambios Dirección,Skip Step,Acción de juego sobre bote...,https://youtu.be/7qjDQAFTvPI,4,0,Mantener bote vivo mientras se recolocan los pies en el aire.,4
Ataque,Técnica Individual,Finalizaciones,Euro step,Finalización sencilla. Cómo se hace...,https://youtu.be/Nfp0PGRlfjg,7,0,Cambio lateral de dirección en los apoyos de entrada.,4
Ataque,Técnica Individual,Finalizaciones,Finaliza. alrededor cintura,Cómo se hace: En el primer apoyo...,https://youtu.be/Z-0414kODIs,5,0,Mover balón circularmente para evitar manos rápidas.,4
Ataque,Técnica Individual,Finalizaciones,Finaliza. Aro pasado,(Sin descripción específica),https://youtu.be/8Frx5HWiekM,6,0,Uso del aro como protección contra el tapón.,4
Ataque,Técnica Individual,Finalizaciones,Parada dos tiempos + giro,Finalización para fintar el tiro...,https://youtu.be/ET3AnY0muKE,6,0,Pivote ofensivo tras parada para ganar ángulo.,4
Ataque,Técnica Individual,Finalizaciones,Paso corto paso largo,(Sin descripción específica),https://youtu.be/t_ydSXi1Xlk,5,0,Alteración del ritmo de los apoyos (Timing).,4
Ataque,Técnica Individual,Finalizaciones,Spin move,Cómo se hace: Entrada en reverso...,https://youtu.be/NApZ3_Zqzug,7,0,Giro 360 sobre el defensor en la entrada a canasta.,4
Ataque,Técnica Individual,Manejo de balón,Bote Uso hemisferios,(Sin descripción específica),https://youtu.be/jVWhtDN6KSo,6,0,Independencia corporal (pies vs manos).,4
Ataque,Técnica Individual,Pase,Pase a poste bajo,Si el atacante no tiene contacto...,https://youtu.be/b4VrN0hQ-x8,5,0,Ángulo y tensión correcta para alimentar al interior.,4
Ataque,Técnica Individual,Pase,Pase de bolos,Pase poco utilizado...,https://youtu.be/iryQ0qDOadk,4,0,Pase una mano por bajo para salida de contraataque.,4
Ataque,Técnica Individual,Pase,Pase de gancho,(Sin descripción específica),https://youtu.be/pPG-J-3OqUQ,6,0,Pase lateral sobre la defensa usando el brazo exterior.,4
Ataque,Técnica Individual,Pase,Pase tras bote,(Sin descripción específica),https://youtu.be/b8O6W1NOLrY,5,0,Ejecutar pase directo desde el drible (una sola mano).,4
Ataque,Técnica Individual,Poste bajo,1 bote + reverso,(Sin descripción específica),https://youtu.be/xzV4qF8vWFs,6,0,Ganar posición y girar rápido sobre el defensor.,4
Ataque,Técnica Individual,Poste bajo,Back down,(Sin descripción específica),https://youtu.be/g0uODB3wzbo,3,0,Driblar de espaldas para ganar espacio físico.,4
Ataque,Técnica Individual,Poste bajo,Dos apoyos + extension,(Sin descripción específica),https://youtu.be/yrL2TZR0bgw,5,0,Potencia de piernas y extensión de brazo (gancho).,4
Ataque,Técnica Individual,Poste bajo,Drop step,(Sin descripción específica),https://youtu.be/Df8bnmzT4mE,6,0,Paso de caída envolviendo la pierna del defensor.,4
Ataque,Técnica Individual,Poste bajo,Gancho,(Sin descripción específica),https://youtu.be/jDS3oB5ROsk,5,0,Tiro con una mano protegiendo con el cuerpo (Hook shot).,4
Ataque,Técnica Individual,Salidas,Abierta mano cambiada,Esta salida es una alternativa...,https://youtu.be/H4w7YmP7YbE,4,0,Soltar balón con mano opuesta al pie de salida.,4
Ataque,Técnica Individual,Salidas,Salida abierta con bote previo,Salida que consiste en dar un bote...,https://youtu.be/I8qtq2upI3Q,5,0,Bote preparatorio para evitar pasos de salida.,4
Ataque,Técnica Individual,Tiro,Hop,Gesto importante para conseguir fluidez...,https://youtu.be/F4Wm73EVWSs,5,0,Pequeño salto de ajuste antes de recibir para tirar.,4
Ataque,Técnica Individual,Tiro,Tiro tras bote,(Sin descripción específica),https://youtu.be/,6,0,Pull-up: transición fluida de dribling a lanzamiento.,4
Ataque,Técnica Individual,Tiro,Volumen de tiro,(Sin descripción específica),https://youtu.be/,0,0,Concepto estadístico (repetición y consistencia).,4
Ataque,Táctica Individual,Juego con balón,Atacar closeout,(Sin descripción específica),https://youtu.be/yljitJ1tP8w,5,8,Lectura de la inercia defensiva (tiro vs penetración).,4
Ataque,Táctica Individual,Juego con balón,Penetrar y pasar,Acción básica del juego colectivo...,https://youtu.be/57vVI-ZUxDY,5,8,Técnica de pase + lectura de ayudas (Drive & Kick).,4
Ataque,Táctica Individual,Juego sin balon,JSB ante 1x1. Interior,(Sin descripción específica),https://youtu.be/HWwa9luUgG0,2,7,Moverse en función de la penetración (Círculos).,4
Ataque,Táctica Colectiva,Bloqueo directo,Bloqueador,(Sin descripción específica),https://youtu.be/,4,7,Técnica de poner el bloqueo y ángulo correcto.,4
Ataque,Táctica Colectiva,Bloqueo directo,Bloqueo directo,(Sin descripción específica),https://youtu.be/,0,5,Concepto general del P&R.,4
Ataque,Táctica Colectiva,Bloqueo directo,Pick and pop,(Sin descripción específica),https://youtu.be/omGrFbU0ls4,5,7,Abrirse para tirar tras bloquear (Lectura de espacio).,4
Ataque,Táctica Colectiva,Bloqueo directo,Pick and roll,(Sin descripción específica),https://youtu.be/,4,6,Continuación hacia el aro (Ejecución básica).,4
Ataque,Táctica Colectiva,Bloqueo indirecto,Bloqueo Ciego,Video: Juan Carlos Garcia,https://youtu.be/8Zi6FHvF1yM,4,7,Sorpresa: Bloquear la espalda del defensor (Back screen).,4
Ataque,Táctica Colectiva,Bloqueo indirecto,Bloqueo indirecto,(Sin descripción específica),https://youtu.be/,0,5,Concepto general de liberar a un compañero sin balón.,4
Ataque,Táctica Colectiva,Bloqueo indirecto,Juego sin balon. Meter def en bi,(Sin descripción específica),https://youtu.be/,3,7,Setup: Llevar al defensor contra el bloqueo.,4
Ataque,Táctica Colectiva,Contrataque,Pase apertura,(Sin descripción específica),https://youtu.be/mq50jydCwQ0,6,7,Outlet pass: Primer pase rápido tras rebote.,4
Ataque,Táctica Colectiva,Contrataque,Superioridades,(Sin descripción específica),https://youtu.be/,4,9,Resolver 2x1 3x2 (Spacing y toma de decisión).,4
Ataque,Táctica Colectiva,Contrataque,Touchdown pass,(Sin descripción específica),https://youtu.be/gxbDyyUShnM,7,6,Pase de campo entero (beisbol) tras canasta/rebote.,4
Ataque,Táctica Colectiva,Contrataque,Trailer,(Sin descripción específica),https://youtu.be/,3,6,Llegada del hombre grande en segunda oleada.,4
Ataque,Táctica Colectiva,Contrataque,Transicion,(Sin descripción específica),https://youtu.be/,0,6,Fase intermedia entre contraataque y estático.,4
Ataque,Táctica Colectiva,Juego colectivo,Extra pass,(Sin descripción específica),https://youtu.be/gAaXFvqQQ70,3,9,Renunciar a un buen tiro por uno excelente.,4
Ataque,Táctica Colectiva,Juego colectivo,Salida de presión,(Sin descripción específica),https://youtu.be/,5,8,Organización para superar defensa toda pista.,4
Ataque,Táctica Colectiva,Mano a mano,Mano a mano,(Sin descripción específica),https://youtu.be/,3,6,DHO: Concepto de bloqueo dinámico con entrega.,4
Ataque,Estrategia,Fondos/Bandas,(Sin conceptos específicos),(Sin descripción específica),https://youtu.be/,0,9,Sistemas de saque (SLOB/BLOB).,4
Ataque,Estrategia,Transición ofensiva,(Sin conceptos específicos),(Sin descripción específica),https://youtu.be/,0,8,Llegada jugando (Early offense).,4
Ataque,Técnica Individual,Cambios Dirección,Cambio por detrás velocidad,Mano justo detrás del balón...,https://youtu.be/aco0FWDXBCE,9,0,Empujar el balón hacia adelante tras la espalda en carrera.,5
Ataque,Técnica Individual,Cambios Dirección,Doble cambio. Debajo + delante,(Sin descripción específica),https://youtu.be/2n_uP5teyUA,9,0,Combo rápido de manipulación (ej. Tim Hardaway).,5
Ataque,Técnica Individual,Cambios Dirección,Doble cambio. Debajo / detrás,(Sin descripción específica),https://youtu.be/rQmSQJH269M,9,0,Combo estático avanzado para desequilibrar.,5
Ataque,Técnica Individual,Cambios Dirección,Dobles cambios,(Sin descripción específica),https://youtu.be/,8,0,Enlazar dos movimientos gestuales sin perder inercia.,5
Ataque,Técnica Individual,Cambios Dirección,Scissors step,(Sin descripción específica),https://youtu.be/PHGXx4MvmaM,7,0,Coordinación de pies en tijera simultánea al bote.,5
Ataque,Técnica Individual,Finalizaciones,Bump Finishing,(Sin descripción específica),https://youtu.be/vILg36gK4_Q,6,0,Buscar contacto físico previo para desplazar al defensor.,5
Ataque,Técnica Individual,Finalizaciones,Finta de pase,Cómo se hace: Se puede combinar...,https://youtu.be/4qA1pSBu-_s,5,0,Engañar ayuda defensiva extendiendo balón en la entrada.,5
Ataque,Técnica Individual,Finalizaciones,Floater,Cómo se hace: Por la izquierda...,https://youtu.be/yPEa9apF7Lk,8,0,Tacto suave (bomba) soltando balón en punto más alto.,5
Ataque,Técnica Individual,Finalizaciones,Perdida paso,Cómo se hace: Entrada con un solo apoyo...,https://youtu.be/3XmMCYGztrs,7,0,Lanzar a pie cambiado para romper el timing del taponador.,5
Ataque,Técnica Individual,Finalizaciones,Pinoy step,Finalización sencilla en la cual...,https://youtu.be/6rHbBtbsDzY,6,0,Finta de tiro arriba durante el primer paso de la entrada.,5
Ataque,Técnica Individual,Finalizaciones,Pro hop,Cómo se hace: Coincidir un último bote...,https://youtu.be/AcCbOGr_40I,7,0,Salto lateral o frontal a dos pies para ganar espacio y fuerza.,5
Ataque,Técnica Individual,Finalizaciones,Slow step finish,Cómo se hace: El primer paso...,https://youtu.be/XkINUe9s_Uk,6,0,Deceleración en el segundo paso para dejar pasar al defensor.,5
Ataque,Técnica Individual,Finalizaciones,Step thru,Cómo se hace: Parada en dos tiempos...,https://youtu.be/UNZthk3tsZw,6,0,Finta de tiro y paso cruzado por debajo del defensor.,5
Ataque,Técnica Individual,Finalizaciones,Veer,(Sin descripción específica),https://youtu.be/sZu7DoMVg1g,7,0,Entrada abierta buscando contacto tardío con el cuerpo.,5
Ataque,Técnica Individual,Pase,Pase por detrás espalda,(Sin descripción específica),https://youtu.be/AwY3iHeSQ7E,7,0,Pase oculto tras la espalda en movimiento.,5
Ataque,Técnica Individual,Pase,Pocket pass,(Sin descripción específica),https://youtu.be/6hz3uCXGgn8,6,0,Pase picado ajustado entre defensores (habitual en P&R).,5
Ataque,Técnica Individual,Poste bajo,Centro + fondo,(Sin descripción específica),https://youtu.be/tGC0oXxiUjg,5,0,Juego de pies engañando una dirección y saliendo por otra.,5
Ataque,Técnica Individual,Poste bajo,Fondo + centro,(Sin descripción específica),https://youtu.be/,5,0,Movimiento de pies atacando línea de fondo para volver al centro.,5
Ataque,Técnica Individual,Poste bajo,Quick spin,(Sin descripción específica),https://youtu.be/xgwTC0PBAz4,7,0,Giro explosivo línea de fondo aprovechando contacto.,5
Ataque,Técnica Individual,Poste bajo,Shoulder spin,(Sin descripción específica),https://youtu.be/z46VYVbd31o,7,0,Giro sintiendo la presión del hombro del defensor.,5
