Seccion,Categoría,Subcategoría,Concepto,Descripción,Url,Complejidad tecnica,Complejidad tactica,Enfoque Tecnico/Tactico,Nivel
Ataque,Técnica Individual,Poste bajo,Up & under,Gesto técnico en poste bajo...,https://youtu.be/lE7ahKxdUWk,7,0,Finta de tiro arriba para pasar por debajo (McHale move).,5
Ataque,Técnica Individual,Salidas,Finta salida abierta + cambio delante,(Sin descripción específica),https://youtu.be/MR2O1U4yCII,6,0,Jab step seguido de crossover inmediato.,5
Ataque,Técnica Individual,Salidas,Karate kid,(Sin descripción específica),https://youtu.be/,5,0,Levantar rodilla para proteger espacio en la salida.,5
Ataque,Técnica Individual,Salidas,Negative step,(Sin descripción específica),https://youtu.be/qO7xfSPpt14,6,0,Paso atrás preparatorio para ganar impulso explosivo.,5
Ataque,Técnica Individual,Salidas,Salida cruzada + cambio por detras,(Sin descripción específica),https://youtu.be/3VAdZnpUL_I,7,0,Salida cruzada abortada con cambio de dirección.,5
Ataque,Técnica Individual,Salidas,Salida en reverso,(Sin descripción específica),https://youtu.be/,6,0,Girar sobre pie de pivote para salir (Spin out).,5
Ataque,Técnica Individual,Tiro,Inverted drag,(Sin descripción específica),https://youtu.be/Os4Irqju6RI,7,0,Arrastre de balón y pies para generar espacio.,5
Ataque,Técnica Individual,Tiro,Side step,(Sin descripción específica),https://youtu.be/Tf2qmZF9zgs,7,0,Paso lateral explosivo para buscar línea de visión.,5
Ataque,Técnica Individual,Tiro,Step back,Cómo se hace: Coincidir bote...,https://youtu.be/xxoC4LrVlV0,8,0,Salto atrás tras bote para separar al defensor (Harden).,5
Ataque,Táctica Individual,Juego con balón,Atacar la recepción. Estampida,(Sin descripción específica),https://youtu.be/RyMeBjwcP7Y,6,7,Atacar el balón antes de recibir para ganar ventaja.,5
Ataque,Táctica Individual,Juego sin balon,Danilovic cut,Corte a canasta que se realiza...,https://youtu.be/wMB9unuRw4I,4,8,Lectura de la espalda del defensor en lado fuerte.,5
Ataque,Táctica Colectiva,Bloqueo directo,Atacar cambio defensivo,(Sin descripción específica),https://youtu.be/,6,9,Reconocer el Mismatch y explotarlo (Grande vs Pequeño).,5
Ataque,Táctica Colectiva,Bloqueo directo,Atacar lado no bloqueo,(Sin descripción específica),https://youtu.be/jIRRUHfrxGA,7,8,Rechazar el bloqueo (Reject) por lectura defensiva.,5
Ataque,Táctica Colectiva,Bloqueo directo,Fintar bloqueo,Slip o fintar bloqueo...,https://youtu.be/uwikTfaNRh0,5,9,Slip: Lectura de la comunicación defensiva fallida.,5
Ataque,Táctica Colectiva,Bloqueo directo,Meter def en el bloqueo con bote,(Sin descripción específica),https://youtu.be/,6,7,Setup: usar el bote para alinear al defensa con el bloqueo.,5
Ataque,Táctica Colectiva,Bloqueo directo,Repick,"Situación táctica, que consiste en volver...",https://youtu.be/UhfqL1GDhwk,5,8,Paciencia para volver a usar el bloqueo si el 1º falla.,5
Ataque,Táctica Colectiva,Bloqueo directo,Roll corto,(Sin descripción específica),https://youtu.be/GAIpEDqYdQM,5,9,Short Roll: Quedarse a 4-5m para jugar 4vs3 (Playmaking).,5
Ataque,Táctica Colectiva,Bloqueo directo,Triangulación,(Sin descripción específica),https://youtu.be/,4,8,Juego de pases entre 3 jugadores tras bloqueo.,5
Ataque,Táctica Colectiva,Bloqueo indirecto,Abrise si def recorta,(Sin descripción específica),https://youtu.be/3kfhJX1Zh_Y,4,8,Lectura de la trampa defensiva (Top lock) para alejarse.,5
Ataque,Táctica Colectiva,Bloqueo indirecto,Continuacion del bloqueador,(Sin descripción específica),https://youtu.be/,3,7,Second action: Qué hace el que pone el bloqueo.,5
Ataque,Táctica Colectiva,Bloqueo indirecto,Cross screen,Bloqueo que se hace paralelo...,https://youtu.be/7akhpHLWBRU,4,7,Coordinación de tiempos para liberar al poste bajo.,5
Ataque,Táctica Colectiva,Bloqueo indirecto,Pin down,(Sin descripción específica),https://youtu.be/wTVBv-Nz_lQ,4,6,Bloqueo vertical hacia línea de fondo para salida de tirador.,5
Ataque,Táctica Colectiva,Bloqueo indirecto,Rizo,(Sin descripción específica),https://youtu.be/co7e9Iwi_50,6,7,Curl: Enroscarse alrededor del bloqueo si la defensa persigue.,5
Ataque,Táctica Colectiva,Bloqueo indirecto,Stagger,(Sin descripción específica),https://youtu.be/cfDWOPP5wdw,4,7,Doble bloqueo escalonado para tiradores.,5
Ataque,Táctica Colectiva,Bloqueo indirecto,Ucla,(Sin descripción específica),https://youtu.be/Yo-XLUZTtlQ,4,6,Bloqueo vertical en poste alto para corte al aro.,5
Ataque,Táctica Colectiva,Juego colectivo,Ataque a zona,(Sin descripción específica),https://youtu.be/,3,9,Sobrecargar áreas inversión rápida y atacar huecos.,5
Ataque,Táctica Colectiva,Juego colectivo,Higw-low,(Sin descripción específica),https://youtu.be/O_l27IMQ8pc,5,8,Conexión poste alto - poste bajo (Juego entre interiores).,5
Ataque,Táctica Colectiva,Juego colectivo,Repost,Situación táctica que consiste en volver...,https://youtu.be/-Wj8QcTeUJY,4,8,Volver a meter balón interior tras sacarlo (Defensa relajada).,5
Ataque,Táctica Colectiva,Mano a mano,Mano a mano + atacar,(Sin descripción específica),https://youtu.be/lpd_sfRcivg,5,7,Usar el cuerpo del compañero para penetrar.,5
Ataque,Táctica Colectiva,Mano a mano,Puerta atrás mano a mano,(Sin descripción específica),https://youtu.be/kcgcsvySCZ8,4,8,Lectura de la negación defensiva en el DHO.,5
Ataque,Táctica Colectiva,Mano a mano,Romper mano a mano con bote,(Sin descripción específica),https://youtu.be/6YE_NusAtlw,6,7,Atacar antes de la entrega si la defensa anticipa.,5
Ataque,Táctica Colectiva,Mano a mano,Tiro tras mano a mano,(Sin descripción específica),https://youtu.be/yZxWEhWDBoo,6,6,Salida rápida de tirador tras la entrega.,5
Ataque,Estrategia,Set VS Individual,(Sin conceptos específicos),(Sin descripción específica),https://youtu.be/,0,9,Sistemas específicos contra defensa hombre a hombre.,5
Ataque,Estrategia,Set VS Zona,(Sin conceptos específicos),(Sin descripción específica),https://youtu.be/,0,9,Sistemas específicos para romper zonas.,5
Ataque,Técnica Individual,Cambios Dirección,Doble cambio. Detras + delante,(Sin descripción específica),https://youtu.be/yc-biQM9C0Q,9,0,Fluidez de muñeca para recuperar balón tras la espalda.,6
Ataque,Técnica Individual,Cambios Dirección,Doble por detrás,(Sin descripción específica),https://youtu.be/CpLmBw6dqCU,9,0,Control ciego del balón sin referencia visual.,6
Ataque,Técnica Individual,Cambios Dirección,Doble. Under drag / delante,(Sin descripción específica),https://youtu.be/OmhBJSRWMKo,10,0,Máxima dificultad: cambio de ritmo altura y dirección simultáneo.,6
Ataque,Técnica Individual,Cambios Dirección,Entre piernas reverse,Cambio por debajo de las piernas de atrás hacia delante...,https://youtu.be/vatQiG8gUJ4,8,0,Stop and go avanzado: amago de pase por detrás y vuelta.,6
Ataque,Técnica Individual,Finalizaciones,Fake spin move,(Sin descripción específica),https://youtu.be/,8,0,Amago de reverso para volver al lado original (Dream Shake).,6
Ataque,Técnica Individual,Finalizaciones,Swing step,Cómo se hace: Hacer coincidir...,https://youtu.be/tpXmOT-K-Xk,8,0,Cruzar balón por encima de la cabeza para cambiar dirección (Euro).,6
Ataque,Técnica Individual,Poste bajo,Fade away,(Sin descripción específica),https://youtu.be/gU956iTOIFU,8,0,Tiro en suspensión saltando hacia atrás para crear espacio.,6
Ataque,Técnica Individual,Poste bajo,Inverted Up & Under,(Sin descripción específica),https://youtu.be/NozW-ZLkWKI,8,0,Finta de paso y tiro compleja de espaldas.,6
Ataque,Técnica Individual,Poste bajo,Mirotic up & under,Movimiento clásico de Mirotic...,https://youtu.be/6KaglEDamHY,9,0,Finta de tiro exterior tras pivote para penetrar.,6
Ataque,Técnica Individual,Poste bajo,Nowitzki shot,(Sin descripción específica),https://youtu.be/z_ISAZ5oF0g,9,0,Fade away a una pierna (flamenco shot).,6
Ataque,Técnica Individual,Poste bajo,Shimmy hook,(Sin descripción específica),https://youtu.be/OzBEfFQ1jhQ,8,0,Vibración de hombros para congelar defensa antes del gancho.,6
Ataque,Técnica Individual,Salidas,Parada 1T + salida cruzada. Causeur,Cómo se hace: Control de balón...,https://youtu.be/1VmKJAkrWnI,7,0,Timing de parada y arranque cruzado inmediato.,6
Ataque,Técnica Individual,Tiro,Punch drag,Es una acción para generarse espacio...,https://youtu.be/oq97z_vcGZ8,8,0,Finta de penetración agresiva y retroceso para tiro.,6
Ataque,Técnica Individual,Tiro,Under drag,Gesto técnico para generarse un espacio...,https://youtu.be/vUV2fjIXBFU,7,0,Cambio entre piernas con retroceso para tiro.,6
Ataque,Táctica Colectiva,Bloqueo directo,Boomerang pass,Acción táctica ante cambio en bloqueo...,https://youtu.be/xnbwnQn4ENk,5,9,Pase de ida y vuelta para castigar closeout del grande.,6
Ataque,Táctica Colectiva,Bloqueo directo,Bote atras + giro + pase,(Sin descripción específica),https://youtu.be/VQuMBKdeqMo,8,7,Técnica de escape ante traps (Nash dribble).,6
Ataque,Táctica Colectiva,Bloqueo directo,Gortat screen,(Sin descripción específica),https://youtu.be/CfFDgaYbSSM,5,8,Bloquear al propio defensor mientras se continúa (Seal).,6
Ataque,Táctica Colectiva,Bloqueo directo,In the jail,(Sin descripción específica),https://youtu.be/XBJ2NLtVmxM,7,8,Mantener al defensor en la espalda (Hostage dribble).,6
Ataque,Táctica Colectiva,Bloqueo directo,preuba tag1,(Sin descripción específica),https://youtu.be/,0,0,(Sin clasificar / Test).,6
Ataque,Táctica Colectiva,Bloqueo directo,Snake,(Sin descripción específica),https://youtu.be/B1fRnRtklwc,7,8,Driblar cruzando la pintura para sellar al grande.,6
Ataque,Táctica Colectiva,Bloqueo directo,Split,(Sin descripción específica),https://youtu.be/hE5FU07pPo0,8,7,Romper por medio de la defensa (entre los dos).,6
Ataque,Táctica Colectiva,Bloqueo directo,tag 2,(Sin descripción específica),https://youtu.be/,0,0,(Sin clasificar / Test).,6
Ataque,Táctica Colectiva,Bloqueo directo,tag 3,(Sin descripción específica),https://youtu.be/,0,0,(Sin clasificar / Test).,6
Ataque,Táctica Colectiva,Bloqueo indirecto,Flare screen,(Sin descripción específica),https://youtu.be/T4iyYag8974,5,8,Bloqueo ciego lateral para alejar al tirador del balón.,6
Ataque,Táctica Colectiva,Bloqueo indirecto,Hammer screen,(Sin descripción específica),https://youtu.be/hWDBFIfFTG0,4,8,Bloqueo ciego en lado débil simultáneo a penetración.,6
Ataque,Táctica Colectiva,Bloqueo indirecto,Ricky screen,Acción en la que un jugador...,https://youtu.be/zUbajGCPafQ,5,8,Re-screen: Usar bloqueo volver y usarlo al revés.,6
Ataque,Táctica Colectiva,Mano a mano,Fintar mano a mano + cambio dirección,(Sin descripción específica),https://youtu.be/,7,8,Fake Handoff: Engaño del grande (Keeper).,6
Ataque,Estrategia,Conceptos de juego,(Sin conceptos específicos),(Sin descripción específica),https://youtu.be/,0,10,Filosofía y reglas generales del equipo.,6
Ataque,Estrategia,Situaciones especiales ataque,"ATO. Saras FCB. Iverson, UCLA, postup",(Sin descripción específica),https://youtu.be/,0,10,ATO: Jugadas de pizarra tras tiempo muerto.,6
Defensa,Táctica Individual,Conceptos defensivos,Linea balón,(Sin descripción específica),https://youtu.be/nmOWLDIU7Eo,0,5,Regla: Estar siempre entre mi par y la canasta.,1
Defensa,Técnica Individual,Básicos defensa,Cambio chip ataque/defensa,(Sin descripción específica),https://youtu.be/,0,0,Mentalidad y reacción inmediata tras pérdida/canasta.,2
Defensa,Técnica Individual,Básicos defensa,Posición defensiva,(Sin descripción específica),https://youtu.be/IsQWaP8hPT8,4,0,Flexión centro de gravedad bajo y equilibrio.,2
Defensa,Técnica Individual,Defensa JCB,Actividad pies,(Sin descripción específica),https://youtu.be/,5,0,Mantenerse frente al balón constantemente.,2
Defensa,Técnica Individual,Defensa JCB,Defensa 1x1,(Sin descripción específica),https://youtu.be/,5,0,Contener al driblador (Contain).,2
Defensa,Técnica Individual,Defensa JCB,Desplazamiento lateral,(Sin descripción específica),https://youtu.be/TtADmDI210U,5,0,Slide defensivo sin cruzar pies.,2
Defensa,Táctica Individual,Conceptos defensivos,1x1 jugador bote agotado,Una vez que el jugador con balón...,https://youtu.be/2oAomg8r7NM,0,5,"Presión máxima ""sin falta"" (Dead ball).",2
Defensa,Táctica Individual,Conceptos defensivos,1x1 jugador un no ha botado,(Sin descripción específica),https://youtu.be/,0,5,Gestión de distancia (No ser superado por primer paso).,2
Defensa,Estrategia,Defensa individual,(Sin conceptos específicos),(Sin descripción específica),https://youtu.be/,0,5,Man to man: Responsabilidad directa 1 contra 1.,2
Defensa,Técnica Individual,Básicos defensa,Balance defensivo,(Sin descripción específica),https://youtu.be/,3,0,Esfuerzo y comunicación para volver a proteger aro.,3
Defensa,Técnica Individual,Básicos defensa,Coordinacion pies,(Sin descripción específica),https://youtu.be/mZxMWfDgDfI,6,0,Agilidad y frecuencia de apoyos defensivos.,3
Defensa,Técnica Individual,Básicos defensa,Rebote defensivo,(Sin descripción específica),https://youtu.be/iQhkjgJpedk,5,0,Técnica de bloqueo de rebote (Box out).,3
Defensa,Técnica Individual,Defensa JCB,Actividad manos,(Sin descripción específica),https://youtu.be/,4,0,Molestar bote y líneas de visión sin hacer falta.,3
Defensa,Técnica Individual,Defensa JCB,Closeout,Habilidad de defensa individual...,https://youtu.be/Qvse8NnBOwc,6,0,Sprint + Pasos cortos de aproximación + Manos arriba.,3
Defensa,Técnica Individual,Defensa JCB,Recuperación defensiva,(Sin descripción específica),https://youtu.be/,5,0,Capacidad de volver a la posición tras ser superado.,3
Defensa,Técnica Individual,Defensa JCB,Robo mano mismo lado,(Sin descripción específica),https://youtu.be/nbhjjAHSkIA,5,0,Atacar el bote desde el lado fuerte.,3
Defensa,Técnica Individual,Defensa JSB,Defensa cortes,(Sin descripción específica),https://youtu.be/,4,0,Uso del cuerpo (Body check) para impedir cortes limpios.,3
Defensa,Técnica Individual,Defensa JSB,Linea de pase abierta,(Sin descripción específica),https://youtu.be/,3,0,Orientación permitiendo recepción pero disuadiendo.,3
Defensa,Técnica Individual,Defensa JSB,Saltar y cambiar,(Sin descripción específica),https://youtu.be/,5,0,Jump to the ball: Ajuste posicional según movimiento balón.,3
Defensa,Táctica Individual,Conceptos defensivos,1x1 jugador botando,(Sin descripción específica),https://youtu.be/,0,5,Orientación: Llevar hacia banda/fondo o ayuda.,3
Defensa,Táctica Individual,Conceptos defensivos,Lado ayuda,(Sin descripción específica),https://youtu.be/julSrmhuziE,0,8,Posicionamiento en triángulo defensivo (Weak side).,3
Defensa,Táctica Individual,Conceptos defensivos,Lado balón,(Sin descripción específica),https://youtu.be/,0,7,Defensa activa sobre balón y línea de pase fuerte.,3
Defensa,Táctica Individual,Conceptos defensivos,Orientar atacante,(Sin descripción específica),https://youtu.be/,0,7,Forzar al ataque hacia su mano debil o ayudas.,3
Defensa,Táctica Individual,Conceptos defensivos,Primera ayuda,(Sin descripción específica),https://youtu.be/,0,8,Responsabilidad del defensor más cercano al balón.,3
Defensa,Táctica Individual,Conceptos defensivos,Triangulos defensivos,(Sin descripción específica),https://youtu.be/,0,8,Geometría básica: Yo-Balón-Mi hombre.,3
Defensa,Técnica Individual,Defensa JCB,Crosstep,Acción técnica defensiva...,https://youtu.be/N69lxsiE26A,6,0,Paso de caída/cruzado para recuperar posición.,4
Defensa,Técnica Individual,Defensa JCB,Fintas defensivas,(Sin descripción específica),https://youtu.be/,4,0,Stunt: Amagar ayuda y recuperar (Jab defensivo).,4
Defensa,Técnica Individual,Defensa JCB,Robo en cambio por delante,(Sin descripción específica),https://youtu.be/Aa57lu6-ocQ,6,0,Timing para meter la mano en el crossover.,4
Defensa,Técnica Individual,Defensa JCB,Robo mano cruzada,(Sin descripción específica),https://youtu.be/_ZDGMam0sxo,6,0,Atacar el bote con la mano opuesta.,4
Defensa,Técnica Individual,Defensa JSB,Linea de pase cerrada,(Sin descripción específica),https://youtu.be/,4,0,Denial: Negación agresiva con mano en línea de pase.,4
Defensa,Técnica Individual,Defensa poste bajo,Por detrás,(Sin descripción específica),https://youtu.be/BCocLyP06Dg,3,0,Defensa posicional sólida aguantando el contacto.,4
Defensa,Táctica Individual,Conceptos defensivos,Body Check,(Sin descripción específica),https://youtu.be/2l9apSw6Wg8,0,6,Contacto físico legal para frenar cortes.,4
Defensa,Táctica Individual,Conceptos defensivos,Colapsar espacio,(Sin descripción específica),https://youtu.be/,0,7,Cerrarse sobre penetraciones (Shrink the floor).,4
Defensa,Táctica Individual,Conceptos defensivos,Fintas entre exteriores,(Sin descripción específica),https://youtu.be/wO0Ju9SV_k,0,6,Ayuda corta y recuperación (Stunt).,4
Defensa,Táctica Individual,Conceptos defensivos,Robar espacio,(Sin descripción específica),https://youtu.be/,0,6,Achicar espacios cuando el balón se aleja.,4
Defensa,Táctica Colectiva,Defensa BD,Cambio,(Sin descripción específica),https://youtu.be/HEqyp15Y1_Q,0,5,Switch: Intercambio de marcas (Comunicación).,4
Defensa,Táctica Colectiva,Defensa BD,Defensa BD,(Sin descripción específica),https://youtu.be/,0,5,Concepto general de defender el Pick & Roll.,4
Defensa,Táctica Colectiva,Defensa BD,Flat,(Sin descripción específica),https://youtu.be/,0,6,Grande se hunde (Drop) para proteger pintura.,4
Defensa,Táctica Colectiva,Defensa BD,Perseguir bloqueo.,(Sin descripción específica),https://youtu.be/,0,6,Pasar el bloqueo por arriba (Chase) molestando tiro.,4
Defensa,Táctica Colectiva,Defensa BD,Por detrás de 3º,(Sin descripción específica),https://youtu.be/,0,5,Pasar bloqueo por debajo (Under) regalando el tiro.,4
Defensa,Táctica Colectiva,Defensa BI,Cambio en BI,(Sin descripción específica),https://youtu.be/,0,5,Simplificación defensiva cambiando asignaciones.,4
Defensa,Táctica Colectiva,Defensa BI,Perseguir BI,(Sin descripción específica),https://youtu.be/,0,6,Chase: Seguir al tirador negando el tiro inmediato.,4
Defensa,Táctica Colectiva,Presión,2X1 frente,(Sin descripción específica),https://youtu.be/,0,7,Trap frontal visible para forzar pase bombeado.,4
Defensa,Táctica Colectiva,Presión,Presión toda pista,(Sin descripción específica),https://youtu.be/,0,7,Full court press (Desgaste físico y mental).,4
Defensa,Estrategia,Normas defensivas,(Sin conceptos específicos),(Sin descripción específica),https://youtu.be/,0,9,"Reglas de equipo (ej. ""no middle"" fondo).",4
Defensa,Técnica Individual,Defensa poste bajo,2x1 poste bajo,(Sin descripción específica),https://youtu.be/K6JNIcU2zPA,4,0,Técnica de trap sin hacer falta (Muro).,5
Defensa,Técnica Individual,Defensa poste bajo,3/4,(Sin descripción específica),https://youtu.be/I6TUYZKrUs8,5,0,Defender línea de pase parcialmente por delante.,5
Defensa,Técnica Individual,Defensa poste bajo,Anticipar,(Sin descripción específica),https://youtu.be/,6,0,Leer la intención de pase para interceptar.,5
Defensa,Técnica Individual,Defensa poste bajo,Por delante,Acción defensiva que consiste...,https://youtu.be/DkA3b7K7XdI,6,0,Front defense: Negación total de recepción interior.,5
Defensa,Táctica Individual,Conceptos defensivos,Fintas a jugador interior,(Sin descripción específica),https://youtu.be/kcstjy4hsS4,0,7,Dig: Finta de ayuda sobre poste bajo y recuperación.,5
Defensa,Táctica Individual,Conceptos defensivos,Last,(Sin descripción específica),https://youtu.be/,0,9,Ser el último hombre (protector del aro) en rotaciones.,5
Defensa,Táctica Individual,Conceptos defensivos,Rotación defensiva,(Sin descripción específica),https://youtu.be/,0,9,Movimiento coordinado del equipo tras una ayuda (X-out).,5
Defensa,Táctica Colectiva,Defensa BD,Negar,(Sin descripción específica),https://youtu.be/,0,7,Ice/Blue: Impedir el uso del bloqueo central o lateral.,5
Defensa,Táctica Colectiva,Defensa BD,Push y pasar de 4º,(Sin descripción específica),https://youtu.be/wJaIUUZV2-0,0,6,Similar al ICE: empujar hacia banda negando centro.,5
Defensa,Táctica Colectiva,Defensa BD,Show,(Sin descripción específica),https://youtu.be/h8tli_uofz0,0,7,Hedge: El grande sale agresivo a frenar balón y recupera.,5
Defensa,Táctica Colectiva,Defensa BD,Trap 2x1,(Sin descripción específica),https://youtu.be/,0,8,Blitz: Dos defensores saltan al balón para forzar error.,5
Defensa,Táctica Colectiva,Defensa BI,Recortar BI,(Sin descripción específica),https://youtu.be/KMDRDIccNxo,0,7,Shoot the gap: Pasar entre bloqueo y compañero (atajo).,5
Defensa,Táctica Colectiva,Defensa BI,Top lock,Técnica defensiva que consiste...,https://youtu.be/gDrHPRqWVp4,0,8,Negar la salida del bloqueo colocándose encima.,5
Defensa,Táctica Colectiva,Defensa en zona,Defensa en zona,(Sin descripción específica),https://youtu.be/,0,6,Defensa de espacios en lugar de hombres.,5
Defensa,Táctica Colectiva,Defensa en zona,media pista,(Sin descripción específica),https://youtu.be/,0,7,Zona estática (2-3 3-2 1-3-1).,5
Defensa,Táctica Colectiva,Defensa en zona,pista completa,(Sin descripción específica),https://youtu.be/,0,8,Pressing zonal para ralentizar o robar.,5
Defensa,Táctica Colectiva,Defensa en zona,zona impar,(Sin descripción específica),https://youtu.be/,0,7,3-2 o 1-3-1 (Defensa fuerte en perímetro).,5
Defensa,Táctica Colectiva,Defensa en zona,zona par,(Sin descripción específica),https://youtu.be/,0,7,2-3 (Defensa fuerte en rebote e interior).,5
Defensa,Táctica Colectiva,Presión,2x1 espalda,(Sin descripción específica),https://youtu.be/,0,8,Trap ciego desde atrás (sorpresa).,5
Defensa,Táctica Colectiva,Presión,Saltar y cambiar,(Sin descripción específica),https://youtu.be/,0,8,Run & Jump: Sorpresa en bote lateral para cambiar marca.,5
Defensa,Estrategia,Defensa zona,(Sin conceptos específicos),(Sin descripción específica),https://youtu.be/,0,6,Estrategia de protección de espacios.,5
Defensa,Táctica Colectiva,Defensa BD,Next,(Sin descripción específica),https://youtu.be/ourxfEYtceM,0,9,Rotación agresiva del defensor más cercano (anticipación).,6
Defensa,Táctica Colectiva,Defensa en zona,mixta,(Sin descripción específica),https://youtu.be/,0,8,Caja y uno / Triángulo y dos (Zonal + Individual).,6
Defensa,Táctica Colectiva,Defensa en zona,mutante,(Sin descripción específica),https://youtu.be/,0,9,Match-up zone: Zona que se ajusta a principios individuales.,6
Defensa,Estrategia,Situaciones especiales defensa,(Sin conceptos específicos),(Sin descripción específica),https://youtu.be/,0,10,Defensa de últimos segundos / Saques banda.,6